array,site,long,lat,easting_12n,northing_12n,camera,start_date,end_date,camera_failure_details
LU13,LU13_17,-111.10896,57.16414,493410.0815294281,6335662.725005699,17,2022-09-15,2023-09-24,NA
LU13,LU13_56,-111.10345,57.152100000000004,493741.2939270289,6334321.936245136,56,2022-09-15,2023-09-24,NA
LU13,LU13_49,-111.07793,57.193340000000006,495290.49574898084,6338910.653045533,49,2022-09-15,2023-09-24,NA
LU13,LU13_70,-111.05211,57.19792,496851.2522681376,6339419.00489534,70,2022-09-15,2023-09-24,NA
LU13,LU13_11,-111.04179,57.17275000000001,497473.12089306954,6336616.685389035,11,2022-09-15,2023-09-24,NA
LU15,LU15_44,-112.87607999999999,56.212650000000004,383644.1967974084,6231330.82566303,44,2022-09-13,2023-09-12,NA
LU15,LU15_11,-112.83254,56.212140000000005,386342.71401509346,6231201.422951982,11,2022-09-13,2023-09-12,NA
LU15,LU15_19,-112.85681,56.2124,384838.4259052674,6231270.64182791,19,2022-09-13,2023-09-11,NA
LU15,LU15_7,-112.98846,56.2118,376672.61732752214,6231431.643172883,7,2022-09-13,2023-09-12,NA
LU15,LU15_34,-112.99898,56.1777,375910.20354111807,6227656.0379533665,34,2022-09-13,2023-09-12,NA
LU15,LU15_37,-112.86945,56.1802,383957.40160727943,6227708.671682663,37,2022-09-13,2023-09-12,NA
LU15,LU15_18,-112.93424000000002,56.21154,380034.120252682,6231307.015188408,18,2022-09-13,2023-09-12,NA
LU15,LU15_43,-112.89617,56.21047,382391.6986376757,6231122.337027976,43,2022-09-13,2023-09-12,NA
LU15,LU15_10,-112.91250000000001,56.21595000000001,381395.91071771376,6231760.122069757,10,2022-09-13,2023-09-12,NA
LU15,LU15_58,-112.91390000000001,56.22151000000001,381326.2859146924,6232381.235544913,58,2022-09-13,2023-09-12,NA
LU15,LU15_8,-112.80639199999999,56.215085,387972.8418194661,6231486.332417059,8,2022-09-13,2023-09-12,NA
LU15,LU15_12,-112.82142,56.179370000000006,386935.94673362625,6227536.514374171,12,2022-09-13,2022-11-17,NA
LU15,LU15_17,-112.74088,56.1792,391934.3650670384,6227388.450767236,17,2022-09-13,2023-09-12,NA
LU15,LU15_1,-113.01591,56.13297000000001,374713.9036239059,6222709.350921845,1,2022-09-13,2023-09-13,NA
LU15,LU15_26,-113.00198,56.13686,375592.06429534184,6223116.995745056,26,2022-09-13,2023-09-13,NA
LU15,LU15_27,-112.9838,56.137679999999996,376724.2666191504,6223175.602775043,27,2022-09-13,2023-09-13,NA
LU15,LU15_28,-112.94679000000001,56.13708,379021.88992029266,6223043.315520902,28,2022-09-13,2023-09-13,NA
LU15,LU15_2,-112.92681,56.134530000000005,380255.38929692,6222724.702334563,2,2022-09-13,2023-09-13,NA
LU15,LU15_29,-112.91135000000001,56.13785,381226.27696692484,6223067.412171774,29,2022-09-13,2023-09-13,NA
LU15,LU15_30,-112.88976,56.138250000000006,382568.94125089975,6223074.95990311,30,2022-09-13,2023-09-13,NA
LU15,LU15_31,-112.87376999999998,56.138200000000005,383562.2855690564,6223042.291356101,31,2022-09-13,2023-09-13,NA
LU15,LU15_32,-112.85918,56.1378,384467.600225394,6222973.249768891,32,2022-09-13,2023-09-13,NA
LU15,LU15_20,-113.06107,56.21454,372179.07888247794,6231868.831640249,20,2022-09-13,2023-09-12,NA
LU15,LU15_21,-113.01251,56.217110000000005,375198.4878545134,6232065.807939357,21,2022-09-13,2023-09-12,NA
LU15,LU15_23,-113.05704,56.20251000000001,372389.00771009346,6230522.741561345,23,2022-09-12,2023-09-12,NA
LU15,LU15_41,-113.05862,56.19308,372259.664578309,6229476.358393606,41,2022-09-12,2023-09-12,NA
LU15,LU15_25,-112.96203,56.21123,378309.7953091972,6231321.237305047,25,2022-09-12,2023-09-12,NA
LU15,LU15_9,-112.97829,56.21596,377316.5699316274,6231876.399602427,9,2022-09-12,2023-09-12,NA
LU15,LU15_24,-113.04411000000002,56.21198,373222.26250159263,6231552.644362559,24,2022-09-12,2023-09-12,NA
LU15,LU15_46,-113.02529999999999,56.21193,374388.5278243866,6231512.639791253,46,2022-09-12,2023-09-12,NA
LU15,LU15_40,-112.73063,56.18027,392573.5519461748,6227491.504812227,40,2022-09-12,2023-09-12,NA
LU15,LU15_16,-112.76156000000002,56.17765,390646.393808054,6227248.568999442,16,2022-09-12,2023-09-12,NA
LU15,LU15_4,-112.92477,56.17984,380522.88200498204,6227763.093384468,4,2022-09-12,2023-09-12,NA
LU15,LU15_36,-112.95157,56.17767,378852.7207795314,6227568.387544958,36,2022-09-12,2023-09-12,NA
LU15,LU15_3,-113.04402000000002,56.17757,373114.29236907884,6227723.54488496,3,2022-09-12,2023-09-12,NA
LU15,LU15_15,-113.06137,56.1834,372056.8388989137,6228404.331965728,15,2022-09-12,2023-09-12,NA
LU15,LU15_14,-113.07427,56.169160000000005,371208.63004443573,6226843.821752284,14,2022-09-12,2023-09-12,NA
LU15,LU15_22,-112.88846999999998,56.39487999999999,383432.152655207,6251630.289285858,22,2022-09-11,2023-09-14,NA
LU15,LU15_61,-112.90440000000001,56.385130000000004,382418.9507153663,6250572.416531802,61,2022-09-11,2023-09-14,NA
LU21,LU21_106,-112.03402000000001,56.56523000000001,436456.1635078832,6269469.572345366,106,2022-09-20,2023-09-25,NA
LU21,LU21_10,-111.99360000000001,56.59103,438981.56925743923,6272304.462227466,10,2022-09-20,2023-09-25,NA
LU21,LU21_16,-111.97281,56.625220000000006,440312.21555504366,6276091.586833734,16,2022-09-20,2023-09-25,NA
LU21,LU21_107,-111.93458000000001,56.56608,442568.13358018413,6269476.565340248,107,2022-09-20,2023-09-25,NA
LU21,LU21_41,-111.90783,56.66848,444362.72741277807,6280851.930425276,41,2022-09-20,2023-09-25,NA
LU21,LU21_63,-111.96631000000001,56.60868,440685.0871134181,6274245.012039926,63,2022-09-20,2023-06-07,NA
LU21,LU21_27,-112.14841,56.62148,429531.6492898697,6275841.888197901,27,2022-09-20,2023-09-25,NA
LU21,LU21_23,-112.20293,56.59241000000001,426129.67770871596,6272663.765477277,23,2022-09-20,2023-09-25,NA
LU21,LU21_21,-112.1497,56.566300000000005,429349.60745790834,6269701.72267447,21,2022-09-20,2023-09-25,NA
LU21,LU21_82,-112.16532999999998,56.529900000000005,428320.41948923055,6265666.662961301,82,2022-09-20,2023-09-25,NA
LU21,LU21_871,-112.09488,56.55634,432700.51561883115,6268538.108624721,871,2022-09-20,2023-09-25,NA
LU21,LU21_164,-111.93586,56.61886,442569.58453788667,6275352.165597901,164,2022-09-20,2023-09-25,NA
LU21,LU21_36,-111.94768000000002,56.64851000000001,441889.8504883785,6278662.24832146,36,2022-09-20,2023-09-25,NA
LU21,LU21_14,-112.09007,56.61864,433106.291729833,6275467.394560907,14,2022-09-20,2023-09-25,NA
LU21,LU21_32,-112.16299,56.638760000000005,428669.65114352957,6277780.216576908,32,2022-09-20,2023-09-25,NA
LU21,LU21_126,-112.17957999999999,56.62290000000001,427621.8287353436,6276032.383011452,126,2022-09-20,2023-09-25,NA
LU21,LU21_122,-112.17445,56.57432,427844.04605117964,6270620.0810455885,122,2022-09-20,2023-09-25,NA
LU21,LU21_56,-112.187,56.55825,427042.1145643776,6268844.78193593,56,2022-09-20,2023-09-25,NA
LU21,LU21_57,-112.14105,56.56273000000001,429874.5279454236,6269295.517381342,57,2022-09-20,2023-09-25,NA
LU21,LU21_9,-112.06113,56.58638,434826.6315991096,6271848.993304222,9,2022-09-20,2023-09-25,NA
LU21,LU21_98,-111.87948999999999,56.51305,445877.82872147375,6263529.4971444085,98,2022-09-20,2023-09-25,NA
LU21,LU21_119,-112.00047799999999,56.57495,438533.11024036794,6270520.875414853,119,2022-09-20,2023-10-02,NA
LU21,LU21_52,-111.93567,56.53988,442461.41451836174,6266561.3788411515,52,2022-09-20,2023-09-25,NA
